shelter,number,lat,lon
"ny 17a",89,None,None
"“the jailhouse” in palmerton, pa",4,None,None
"trail magic massage center",32,None,None
"tent, moxie pond",32,None,None
"just south of swim bald",4,None,None
"jennys knob shelter",5,None,None
"tyringham road",20,None,None
"carl a. newhall lt",4,None,None
"split oak litigation park",4,None,None
"vermont hwy 12 - stealth camp",5,None,None
"pochuck mt. shelter",4,None,None
"stealth camp near gordon pond",12,None,None
"eagle's nest shelter,pa",114,None,None
"cosby gap shelter",8,None,None
"chattahoochee gap",62,None,None
"pool side",2,None,None
"rt 11 and rt 30 (vt)",1,None,None
"stoney mountain (tarping)",2,None,None
"campsite va. 606",6,None,None
"montreal",6,None,None
"just past summit of max patch",4,None,None
"bear fence mtn..hut",4,None,None
"inn 230 / harper's ferry",4,None,None
"day 3: bull gap, ga",2,None,None
"waynsboro, virginia",2,None,None
"birmingham, al",2,None,None
"shaker campsite, ma",22,None,None
"upper goose pond center cabin",4,None,None
"paul c. wolfe sheler",12,None,None
"bald mtn. shelter",77,None,None
"5oi shelter",4,None,None
"watt's creek shelter",2,None,None
"rte 301",4,None,None
"watiti shelter",2,None,None
"manchester center, vt",1259,None,None
"us2(gorham)",20,None,None
"rt us 11",2,None,None
"mt. success nh",16,None,None
"first 5 days down",4,None,None
"carl a newhall shelter",22,None,None
"carter col shelter",4,None,None
"pine forest hostel",4,None,None
"day 215: 15.5 miles to pine grove furnance",6,None,None
"lakeport state park,mi",2,None,None
"sabbath pond shelter",2,None,None
"nauman tent site",52,None,None
"schaghticoke road",30,None,None
"shenandoah river state park",2,None,None
"chicago then- finally south florida",2,None,None
"campsite next to the parkway",6,None,None
"glascow",20,None,None
"skyline drive, hightop prking area",2,None,None
"tray mnt. shelter",4,None,None
"grayson highlands.",2,None,None
"black horse gao",1,None,None
"codington shelter",4,None,None
"white house landing - me",8,None,None
"priest shelter (va)",44,None,None
"faces from the past",6,None,None
"tricorner shelter,nc",66,None,None
"rt. 40",2,None,None
"chapel hill, nc",6,None,None
"antigua",6,None,None
"the 'eyebrow',me.",32,None,None
"sleep; i hope",1,None,None
"wesser, nc (n.o.c.)",2,None,None
"north in new jersey",5,None,None
"campsite north of wayah gap",2,None,None
"highway 309 crossing",4,None,None
"still here at us11",8,None,None
"baldpate camp",12,None,None
"falls village, ct",90,None,None
"mile 1220.8 (tenting)",8,None,None
"campsite near mountaineer waterfall",2,None,None
"fahnestock state park, ny",39,None,None
"i-70",24,None,None
"taconic parkway, ny",2,None,None
"eagle's next shelter",7,None,None
"deb and jeff's in stockport, ny",18,None,None
"kedwick",6,None,None
"somewhere maine",2,None,None
"the bird cage",37,None,None
"pearisburg, va",2176,None,None
"lick creek bridge",88,None,None
"govenor clement shelter",86,None,None
"blue mt. shelter",57,None,None
"morgan stewart memorial shelter",16,41.56454,-73.6917
"hilltop hotel harper's ferry, wv",4,None,None
"va623",23,None,None
"dahlgron campground",6,None,None
"stove creek shelter",3,None,None
"north of log cabin drive",21,None,None
"rugus morgan shelter",2,None,None
"motel on u.s.11",2,None,None
"maher trail hostel",28,None,None
"monson",7365,None,None
"glenn cliff, nh",2,None,None
"james frye shelter, pa",6,None,None
"?, va",6,None,None
"gran anderson shelter",2,None,None
"elk wallow",6,None,None
"rausch shelter 10:15",10,None,None
"harper's ferry mp 1009",2,None,None
"conn 41",5,None,None
"near thornton river trail",32,None,None
"harpers ferry west va",28,None,None
"james frye (tagg run) shelter",56,None,None
"cold creek shelter, nc",2,None,None
"some where in the woods",10,None,None
"hiker hostel-dahlonega",15,None,None
"beauty spot campsite",38,None,None
"va. 56 tye river",2,None,None
"aredn,ny",2,None,None
"blotz rd",31,None,None
"smithburg, rt 3 491",1,None,None
"kinkora hostel - trail maintenance",2,None,None
"hokie country - va tech u",1,None,None
"hane's; essex, vt",2,None,None
"maine junction/willard gap - vt",7,None,None
"top of mtn. past hightop gap",2,None,None
"smarts mountain, tent-site",18,None,None
"stealth near arden valley road",8,None,None
"feathercamp branch campsites, va",2,None,None
"carlos col shelter - mahoosuc range, me",4,None,None
"pochuck mtn shelter",22,None,None
"wadleigh lake campsite",24,None,None
"russell field",123,35.561677,-83.766596
"rutland econolodge",4,None,None
"hightower gap.",1,None,None
"blue mtn lakes rd/ymca camp",3,None,None
"ensign cowal shelter, md",40,None,None
"near main/new hampshire border",6,None,None
"vandewenter shelter",1,None,None
"port clinton,pa",68,None,None
"pierce pond lean-tp",3,None,None
"springer mountail shelter",2,None,None
"wawaynada shelter",18,None,None
"buttermilk falls trail",23,None,None
"un-named woods road",3,None,None
"campsite near pa rt 325",5,None,None
"campsite 1 mile n of turk's gap",8,None,None
"north end of nuclear lake",2,None,None
"@ about mile 317",2,None,None
"jarman gap, va",4,None,None
"peaks shelter",2,None,None
"getting to harppers ferry",1,None,None
"sassafrass campsite",1,None,None
"wood's hole shelter",188,None,None
"campsite near sinking creek, north of va630",2,None,None
"elmers dinner table",6,None,None
"hampton, tn ( kinkora hostel )",46,None,None
"franklin (zero)",4,None,None
"locust cove gap tent sites",5,None,None
"campsite by pa 183",31,None,None
"us 11 motel 8",12,None,None
"pughkeepsi, ny (house)",2,None,None
"saint alexander des lacs",2,None,None
"amtrak train",9,None,None
"prospect rock, ny",12,None,None
"helvey's ridge shelter",7,None,None
"water tower on the way to big bald",2,None,None
"no business knob shelter",108,36.06662,-82.43365
"burnington gap ~ bryson city",44,None,None
"bodfish farm road",6,None,None
"u.s. 19 e",2,None,None
"pearisburg va",226,None,None
"shee-ple and just coming short of the notch",1,None,None
"south arm rd (the cabin hostel andover me)",28,None,None
"matt creek shelter",21,None,None
"reed's gap, va",2,None,None
"big bald ?",1,None,None
"me route 26 (bethel, me)",56,None,None
"i-40 to asheville",10,None,None
"maine highway 27",112,None,None
"(i hope)",2,None,None
"testnatee gap",7,None,None
"dragon's tooth vista (va)",7,None,None
"happy october - fall in virginia",32,None,None
"fisher's gap",8,None,None
"hightop mt hut",10,None,None
"spec pond - me",6,None,None
"cooper pond",84,None,None
"kent conn.",24,None,None
"the mountain!!!",4,None,None
"murray trail",28,None,None
"campsite, about mile 75.0",2,None,None
"glencliff, n.h.",165,None,None
"woods outside harper's ferry",8,None,None
"over mt. shelter",4,None,None
"last mountain shelter in virginia",8,None,None
"nantahala outdoor center 1,740",2,None,None
"near surplus mt., maine",8,None,None
"camp ken-etiwa-pic",4,None,None
"atlanta (zero)",2,None,None
"nolichuky river bridge",5,None,None
"campsite beside a pond",4,None,None
"rucker knob",10,None,None
"campsite (humpback mtn)",28,None,None
"palmerton-parkside inn, room 5",1,None,None
"standng bear hostel",4,None,None
"pushing up daisies",7,None,None
"hosner mountain rd",55,None,None
"smarts mountain firewarden's cabin",8,None,None
"near gulf hagas trail",129,None,None
"near pinnacle mountain",12,None,None
"goose creek cabins (neels gap)",2,None,None
"calso col shelter",1,None,None
"sage's ravine campsite",29,None,None
"lehigh furnace gap, pennsylvania",3,None,None
"in the woods, alone...",7,None,None
"wayah gap picnic area",4,None,None
"virginia route 55",4,None,None
"where, oh, where have our little friends gone?",2,None,None
"hwy. 17",4,None,None
"nh 16",27,None,None
"pond tent site outside damascas",8,None,None
"lickskillet gap",6,None,None
"trey mt. shelter",6,None,None
"random thoughts",4,None,None
"bemis stream trail",173,None,None
"campsite .3 past big rock spring",4,None,None
"over sassafrass",12,None,None
"spaulding mt. lean-to",180,None,None
"montibello, va",10,None,None
"bald mountian shelter",4,None,None
"pen mar state park",5,None,None
"housatonic river campsite 610",9,None,None
"out of the drain by train",1,None,None
"chairback mountain gap lean to",20,None,None
"buck's place diner (tn)",2,None,None
"farrell's house",6,None,None
"sassafas gap",6,None,None
"front royal, hotel",1,None,None
"sprivey gap",10,None,None
"east claredon,vt country squire inn",16,None,None
"somewhere in pa",3,None,None
"purceville va",10,None,None
"nantahala outdoor center in wesser",6,None,None
"campsite at ruins mile 983",4,None,None
"bluff mtn summit",4,None,None
"vt rte 103",2,None,None
"gear talk",1,None,None
"spauding mtn lean to",14,None,None
"bald pate lean-to",26,None,None
"grayson highlands, va",22,None,None
"burbs of maryland",4,None,None
"adventure!",1,None,None
"geneseo, ny",1,None,None
"chateauquay road - camped by road",54,None,None
"stoney man summit",1,None,None
"heaven hill farm, ny",2,None,None
"palmerton municipal building",8,None,None
"potchuck mt. shelter",4,None,None
"tim from ohio",2,None,None
"devils racecourse shelter",334,39.67197,-77.5241
"redwood motel",50,None,None
"duncannon/ hotel doyle",6,None,None
"dave's place",109,None,None
"1.5 miles south of grafton notch",10,None,None
"bemis mountain lean to",44,None,None
"c&o tow path campsite white's ferry (past mm 34)",2,None,None
"tentsite 83 depot st., dalton",2,None,None
"monument mt. motel grt. barrington, ma",9,None,None
"rattle river",362,44.380024,-71.108102
"caratunck, me",1,None,None
"nyc",266,None,None
"atkins, relax inn",1,None,None
"pollywog gorge",12,None,None
"bueno vista",10,None,None
"half-mile past salt log gap (north)",9,None,None
"alden, iowa",7,None,None
"brown fork, nc",8,None,None
"bear's den shelter",9,None,None
"little wolf creek, va",4,None,None
"nantahala outdoor centre",19,None,None
"harpers ferry, west va.",60,None,None
"sassafras gap, by the shelter",11,None,None
"vt 4/inn at long trail",4,None,None
"last shelter before town!",3,None,None
"littleton, nh, thayers inn",6,None,None
"pulpit rock",14,None,None
"va hwy 635 (damascus)",2,None,None
"eagle's nest shelter (3***)",6,None,None
"birthday for smoothie",7,None,None
"big meadows lodge, va",61,None,None
"2 miles south of shaker campsite",62,None,None
"tri-coner knob",6,None,None
"haven't decided",3,None,None
"horse show canyon lean to",10,None,None
"puerto rico",4,None,None
"el casa de pikey",2,None,None
"uncle johny's hostel",4,None,None
"zero mile day",2,None,None
"baily gap shelter",40,None,None
"rich mt. fire tower,side trail",6,None,None
"campsite past keys gap (tarp)",14,None,None
"carlisle, pa (appalachian motel)",2,None,None
"dry river campground, crawford notch sp",142,None,None
"va 16 mt rogers headquarters",21,None,None
"carvers gap",96,None,None
"tent, somewhere after little bald",4,None,None
"new hampshire-white mtns",8,None,None
"o’lystery picnic area",8,None,None
"pa rt. 325 crossing",4,None,None
"sassafeas gap shelter",1,None,None
"river view campsite, susquahanna river, pa",1,None,None
"pass mtn.hut",28,None,None
"albert's mountain",5,None,None
"campsite on mill stream, va",2,None,None
"lago vista texas,",5,None,None
"woods whole shelter",2,None,None
"cedar run-white oak canyon loop",1,None,None
"mont st. pierre motel, quebec",4,None,None
"keys gap, va",10,None,None
"loaf city, pearisburg, virginny",2,None,None
"cow camp gap shelter",352,None,None
"dartmouth ski way",10,None,None
"piney creek campsite",8,None,None
"hoyt rd (ny/ct border)",1,None,None
"dalonega, ga.",6,None,None
"duncanson, pa",2,None,None
"gale river trail junction",4,None,None
"change in scenery",1,None,None
"gooch cap",2,None,None
"vt 14, west hartford",1,None,None
"penn-mar border",2,None,None
"tentsite near mountaineer waterfall",8,None,None
"weat cary pond lean-to",6,None,None
"hobo camp 1 mile after loft mountain (2900')",11,None,None
"perisburg/ trail angel i met in '03",4,None,None
"brink rd shelter",18,None,None
"lewis mountain campground",308,None,None
"thoughts on community",1,None,None
"winchester va - harper's ferry",4,None,None
"duncannon , doyce hotel",2,None,None
"hammock hell",4,None,None
"peter wolfe shelter",14,None,None
"trail/near bears den",12,None,None
"campsite on potts mtn.",8,None,None
"wolfsville road shelter,md",78,None,None
"stone steps",2,None,None
"crocker cirque campsite (tent)",10,None,None
"tent, arden valley rd ny",10,None,None
"glemcliff, new hampshire",61,None,None
"still in kent",4,None,None
"bryson gap, ga",2,None,None
"making camp early",4,None,None
"salisbury, ct route 44",64,None,None
"glenciff",17,None,None
"the inn at long trail in killington",29,None,None
"kincora/dennis cove",38,None,None
"off trail/ alexandria,ky",6,None,None
"mt.collins shelter,nc",4,None,None
"tent site n. of arden valley road",2,None,None
"nick grindstaff memorial",26,None,None
"pa. 248",2,None,None
"rte. 4 (rangeley inn)",20,None,None
"little bigelow lean to",58,None,None
"the inn at ocean view, maine",1,None,None
"shirley blanchard rd",11,None,None
"east mountain retreat hostel",4,None,None
"stealth site off franconia ridge, whites, nh",70,None,None
"calf mt shelter (va)",72,None,None
"jeremys run trail",8,None,None
"boundry shelter",2,None,None
"rocky spring top",2,None,None
"blue mtn lakes rd - nj",8,None,None
"laurel ridge campsite",114,None,None
"indian grave gap- ewrin, tn",11,None,None
"st.quentin, nb",2,None,None
"vt-12 the barn",20,None,None
"power lines past washington monument",2,None,None
"skyline lodge shelter",26,None,None
"kitahdin maine",1,None,None
"springer mtn. ga",7,None,None
"camping at the cookie lady's",6,None,None
"jakes house, carisle pa",32,None,None
"super8 hotel at us11, carlisle, pa",2,None,None
"francona notch us 3",24,None,None
"caratuck house (hostel)",4,None,None
"miss janets house",85,None,None
"further n of duncannon",1,None,None
"rod hollow shelter",1046,39.04763,-77.94408
"hiawassee ga",69,None,None
"amical flls state park",1,None,None
"harpers ferry, w.va",24,None,None
"pinkham notch",2256,None,None
"bald mtn brook leanto",9,None,None
"boonsboro mtn road",1,None,None
"damscus va",2,None,None
"loft mountain shelter",1,None,None
"garenflo gap,nc",52,None,None
"table rock campsite",4,None,None
"tent on 2nd mountain ridge",6,None,None
"sassatras gap shelter",2,None,None
"overbriton shelter",2,None,None
"carrabassett river 8:58pm – the final countdown",7,None,None
"2 miles shy of maine line",6,None,None
"hiawasse, ga",72,None,None
"springer parking lot",2,None,None
"pine creek shelter",3,None,None
"financial set",2,None,None
"super 8 motel, carlisle, pa",15,None,None
"stealth north of notch",2,None,None
"silers bauld shelter",2,None,None
"bike ride across wilson county (tn)",1,None,None
"tenting above sinking creek valley",3,None,None
"glastenbury shelter",18,None,None
"pearisburg (hostel)",2,None,None
"camp past buzzard rock",12,None,None
"waynesboro, pa",86,None,None
"mark neople shelter",4,None,None
"the doyle at duncannon",1,None,None
"dancing bones community",38,None,None
"natures beauty",1,None,None
"rte 20, beckett, mass",16,None,None
"hawk mtn. sanctuary",1,None,None
"camping mont albert",4,None,None
"sila bald shelter",2,None,None
"otisfield, maine",16,None,None
"us11 / i -81",1,None,None
"crowder's mtn state park",3,None,None
"up the trail !",4,None,None
"stecoah gap shelter",1,None,None
"stealth camp n of the helvay mills shelter",4,None,None
"maupin field shelter",774,37.8849,-78.99363
"no journal",36,None,None
"mt. katadin mn",1,None,None
"rte 20 junction, lee ma",2,None,None
"va614",32,None,None
"rye, ny",24,None,None
"vernon,nj",180,None,None
"sherman brook campsite, ma",128,None,None
"sheeley-woodworth shelter",2,None,None
"pearisburg - va (rt 100)",30,None,None
"vandenvetter shelter",2,None,None
"tent site at marble spring",4,None,None
"stone tower",6,None,None
"bettys creek gap",2,None,None
"north of shenandoahs",1,None,None
"continuation of the last journal",2,None,None
"smarts mt. tentsite (tenting)",60,None,None
"bushwacking",4,None,None
"ny hwy 301",8,None,None
"harpers ferry - wv",4,None,None
"nantahala river hotel (134.1 miles)",9,None,None
"us 19e mountain harbour hostel",6,None,None
"bennington,vt - autumn motel",48,None,None
"killington, vt (sherburne pass, rt. 4)",2,None,None
"graymoor spritual life center",6,None,None
"goose creek cabins- neels gap",4,None,None
"kirkbridge shelter",41,None,None
"glencliff hiker's hostel",8,None,None
"hikers inn (hostel?)",4,None,None
"dalville va",1,None,None
"aunt charolette's house",4,None,None
"melvin nauheim lean-to",12,None,None
"g-burg",3,None,None
"hotsprings campground",4,None,None
"sunrise mt",58,None,None
"pine ellis b&b andover me",12,None,None
"speck pond trailhead",1,None,None
"deertick shelter",3,None,None
"paul c wolfe shelter",111,None,None
"leroya.smith shelter",12,None,None
"fredericksburg, va (still... temporary!)",14,None,None
"conn 4 and dave preston's camp",2,None,None
"hemlocks shelter",139,None,None
"hiawassee geogia",2,None,None
"petters shelter",2,None,None
"peters mountain shelter",351,40.42593,-76.87932
"waynesville, nc",15,None,None
"spaulding mountain shelter, me",9,None,None
"harpers verry, wv",1,None,None
"va 42, sinking creek valley",2,None,None
"darren",144,None,None
"greenwood lake, new york",14,None,None
"mountain laurel inn",2,None,None
"wesser gap shelter",2,None,None
"daicey pond (revisited).",46,None,None
"elverson",11,None,None
"birthday weekend",2,None,None
"609 backpacker campground",4,None,None
"macon, ga.",1,None,None
"near kent pond",36,None,None
"thoreau falls, nh",18,None,None
"kinkora hostel on dennis cove road",1,None,None
"30.5m hiked, neels gap",2,None,None
"summit of old blue",6,None,None
"rock spring top camp",12,None,None
"bettty's creek",1,None,None
"brown gap",264,None,None
"hamburg pa",4,None,None
"chocorua, nh",16,None,None
"greylock mtn.",30,None,None
"brevard, nc.",5,None,None
"bald mt. brook lean-to",24,None,None
"hanover, h.n.",2,None,None
"va in one week !!!!!!!!!!!!!!!!!!",1,None,None
"pittsfield rd (cookie lady)",50,None,None
"east b hill road - andover, me",4,None,None
"campsite at 1354.7",12,None,None
"sitting around doing nothing",6,None,None
"feathercamp branch/hwy 58",11,None,None
"perham stream (logging rd)",18,None,None
"wilbur dam",12,None,None
"abingon shelter",8,None,None
"carl a. newhall lean to",65,None,None
"red clay gap",12,None,None
"at work!!",6,None,None
"rivers end bunk house",2,None,None
"high knoll",2,None,None
"standing bear hostel",315,None,None
"jostas creek",2,None,None
"roan mountain knob shelter",2,None,None
"she just doesn't say",2,None,None
"ma/vt line",12,None,None
"william b douglas shleter",12,None,None
"campsite near turkeypen gap",30,None,None
"harper's ferry, w. va.",30,None,None
"jojns hollow shelter",16,None,None
"the olsen’s house (woo hoo!)",2,None,None
"va 21/52",12,None,None
"duncannon by tomorrow",1,None,None
"amc camp mohican",36,None,None
"chicago, il",6,None,None
"damascus (again)",8,None,None
"stealth site in the econo lodge",2,None,None
"back on river with those remaining",2,None,None
"wallace gap (shuttled from franklin)",1,None,None
"yellow breeches creek",4,None,None
"hightop hut",1097,38.33314,-78.55836
"va. rt. 60 buena vista va.",74,None,None
"campsite-cow pen gap",2,None,None
"wallace gap/franklin",9,None,None
"rt. 20 in lee (ma)",1,None,None
"duncanon pa",2,None,None
"erwin ,tn",6,None,None
"troutdale baptist hostel",56,None,None
"leory smith shelter, pa",2,None,None
"springer's parking lot",1,None,None
"church of the mountain hiker hostel, delaware wate",10,None,None
"smarts mountain ranger trail",16,None,None
"graylock summit rd.",16,None,None
"campsite outside of harper's ferry",2,None,None
"hotel in white river junction vt",16,None,None
"asheville eamonn's house",5,None,None
"county 20, west dover road",14,None,None
"fullhardt gap shelter",12,None,None
"route 302",6,None,None
"2(?) mile short of woody gap",1,None,None
"manchester - vt route 11 & 30",4,None,None
"harpers ferry us 340",12,None,None
"abol bridge campground (tent)",20,None,None
"lebanon, pa",13,None,None
"fontana village, n.c.",4,None,None
"dry gulch ravine",6,None,None
"tri-cornor shelter",2,None,None
"laura woodward shelter",24,None,None
"east b hill rd, me.",11,None,None
"tentsite at hang glider view",2,None,None
"cornelius creek shelter",330,37.49401,-79.54703
"fourth mt.",1,None,None
"woods road near qunittown, nh",2,None,None
"nantahela outdoor shelter",1,None,None
"white rocks cliff, stealth camp",12,None,None
"angel's rest",20,None,None
"hurricane mtn. shelter",36,None,None
"pearisburg, rendez-vous motel",6,None,None
"paint creek trail campsite",2,None,None
"thomsen's, laurel, md",1,None,None
"warwick, ny warwick motel",34,None,None
"mahoosic notch (east end)",22,None,None
"maine !!!!!",2,None,None
"co. hwy.20 , pawling,ny",21,None,None
"rainbow springs hostel",4,None,None
"trents's grocery, va 606",4,None,None
"we're in delaware",1,None,None
"vanderenter shelter",4,None,None
"epiphany",3,None,None
"amiacola falls",1,None,None
"mad tom notch road, vermont",32,None,None
"from hiking to biking to paddling",9,None,None
"go rham, nh",3,None,None
"944 (wertzville)",1,None,None
"gulf rd, dalton",5,None,None
"dragonfly's place",4,None,None
"kings mountain, nc",4,None,None
"derricks knob ~4500' 5 pm",2,None,None
"swarming in new jersey",4,None,None
"taylor mountain overlook, then back to daleville",50,None,None
"tentsite 4 miles south of cave spring, ga",4,None,None
"bear pen trail",6,None,None
"jo-mary rd",56,None,None
"sassafras gap campsite",45,None,None
"elwin",1,None,None
"little bald (a wooden summit)",4,None,None
"e. flagstaff rd.",20,None,None
"vienna, va",5,None,None
"campton campground",4,None,None
"summer like conditions",4,None,None
"daleville & a hotel",4,None,None
"campsite near three ridges summit",4,None,None
"jordan",1,None,None
"pinnacles picnic campground",18,None,None
"swim bald, nc",4,None,None
"pa. 94",5,None,None
"cliffside motel-harper's ferry, wv",137,None,None
"irwin",28,None,None
"mile 1428",2,None,None
"fontana lake marina",8,None,None
"woodhole shelter",2,None,None
"schedule update",1,None,None
"rangley (gull pond)",2,None,None
"cheshire, ct - the mannion's",10,None,None
"portland me",2,None,None
"south peak of mt. wolf",12,None,None
"whisling gap campsite",2,None,None
"rt. 8, cheshire, ma",1,None,None
"village motel, atkins",40,None,None
"lehigh gap/palmerton, pa",16,None,None
"packrat hostel",9,None,None
"woody hole shelter",16,None,None
"stealt site near damascus",3,None,None
"look out trail/cabin",2,None,None
"helendorf river inn",2,None,None
"the toughest terrain yet!",14,None,None
"hammocked near long house rd.",1,None,None
"amman",8,None,None
"smart mtn shelter",1,None,None
"us 321 to dennis cove road (kincora / slack)",7,None,None
"grassy campsites, (nc/tn?)",2,None,None
"fontana dam shelter",771,35.44849,-83.79398
"whitehall pa",18,None,None
"night of the rodents",4,None,None
"u.s. 9, n.y. 403",1,None,None
"farmfield, pennsylvania",12,None,None
"tent, kennebec river, south",32,None,None
"north mountain cabin w/ family",1,None,None
"aldha,hanover,nh.",68,None,None
"maine border",60,None,None
"first stretch",1,None,None
"ny301 fahnestock state park",2,None,None
"some campsite",10,None,None
"rainbow brook shelter, me",2,None,None
"peck's corner knob shelter",8,None,None
"ms. janet's",3,None,None
"planning the trip",1,None,None
"snowbird montain campsite",6,None,None
"white wolf inn, me",2,None,None
"springer mtn.,ga.",127,None,None
"greeneville, tennessee",5,None,None
"moose mt (again)",12,None,None
"lost pont shelter",6,None,None
"dahlgren backpacking campsite (tarp)",4,None,None
"near overpass of ny thruway",6,None,None
"first entry from trail",3,None,None
"amicolola state falls park",1,None,None
"koa campground-harpers ferry, wv",116,None,None
"clearwater florida",4,None,None
"bluff mountain",44,None,None
"big meadows, va",112,None,None
"tent, john's land shenandoah river",4,None,None
"molly & dentons shelter",2,None,None
"harper's ferry youth hostel",6,None,None
"walnut mtn.shelter",4,None,None
"spring/campsite",6,None,None
"cooper creek falls lean-to",12,None,None
"kincora's hikers hostel",2,None,None
"kelly stand rd / arlington-west wardsboro rd",2,None,None
"chickentarp camp",2,None,None
"speck pond campsite/shelter",16,None,None
"equipment lessons",1,None,None
"polichunk-dunk shelter",4,None,None
"grange hall road",10,None,None
"spring just before blackstack cliffs",2,None,None
"vt 14, white river",18,None,None
"on the trail!",2,None,None
"the cabin, maine",4,None,None
"humpback picnic area",16,None,None
"greenleaf hut",428,44.16024,-71.66024
"partnership shelter",1114,36.80953,-81.42237
"pines swamp brook lean-to",12,None,None
"hgwy #91, shady valley, tn.",8,None,None
"daleville, virginia",81,None,None
"south of jomary road",6,None,None
"camping 2 miles north of crawford notch",4,None,None
"lizard's house",18,None,None
"hostel at unionville ny",56,None,None
"random acts of kindess",3,None,None
"dalevile",2,None,None
"relax inn - royal retreat, va",2,None,None
"boone, tn",3,None,None
"cloud pond lean to",38,None,None
"ballpate lean-to, me.",4,None,None
"dew north",1,None,None
"tent, dan gap",4,None,None
"shannandoahs",1,None,None
"baggs creek shelter",3,None,None
"crawford's notch, new hampshire",2,None,None
"bull bridge rd., ct",3,None,None
"gravel springs hut",642,38.76388,-78.23362
"ground hog creek shelter",62,None,None
"tyne rd.",1,None,None
"pine grove furnace hostel",34,None,None
"tn91",23,None,None
"the hospital =9",1,None,None
"north, of course",1,None,None
"derrick knob shelter",642,35.56635,-83.64179
"minerua hinchey shelter",2,None,None
"whitley shelter trail",3,None,None
"interstate 70",10,None,None
"7 miles prior to max patch",5,None,None
"dunnville on canada",6,None,None
"bald mtn brook campsite",88,None,None
"what's up with that?",6,None,None
"waynsboro ymca",16,None,None
"bearfence mtn. shelter",5,None,None
"cape may, nj",3,None,None
"wright farm shelter",4,None,None
"river's way outdoor adventure center",2,None,None
"the hostesses with the mostest",2,None,None
"south of sym's gap",26,None,None
"the barn in gorham",4,None,None
"front royal virginia",2,None,None
"menn-mar state park",5,None,None
"tam and troy's house",2,None,None
"stealth camp near va 607, robinson gap rd.",6,None,None
"goldsmith rd.,nj",8,None,None
"long pond stretch lean-to",4,None,None
"blue lake",6,None,None
"half-mile short of walnut rd",2,None,None
"summit cut hwy. va 58",28,None,None
"16.5 past dahlgren",2,None,None
"cookie guy's garage",2,None,None
"wallace gap@rainbow springs",1,None,None
"speck pond campsite (tenting)",137,None,None
"hi everybody!",3,None,None
"va 42 (2690')",1,None,None
"hughes river gap",2,None,None
"frye notch campsite",38,None,None
"tri-cornerr knob shelter",6,None,None
"pizza hut",3,None,None
"port clinton/duncannon/billville",9,None,None
"checking into the doyle",8,None,None
"war sur",3,None,None
"~excitement & thanks~",1,None,None
"near warren, nh",10,None,None
"wallace gap, rainbow springs campground",20,None,None
"sinking creek valley - va42",5,None,None
"liberty spring campsite.",94,None,None
""secret" shelter (ssshhh!)",1,None,None
"east b hill rd (pine ellis b&b,andover, me)",12,None,None
"so far, so good ... so what?",4,None,None
"campsite near bartram trail",1,None,None
"to liberty springs trail and back to n. woodstock",16,None,None
"rocky cove knob",2,None,None
"exciting week",10,None,None
"rangeley (per the letter- not physically there)",1,None,None
"graylock mt.",2,None,None
"smarts mountain leanto",4,None,None
"bailey's gap shelter",44,None,None
"kathy's place in abingdon",36,None,None
"i-81 by danville, va.",2,None,None
"standing bear hostal",4,None,None
"near zealand falls",26,None,None
"pinkham, notch",24,None,None
"tom run shelters, pa",48,None,None
"ft. montgomery, ny",102,None,None
"minerva hinckley",6,None,None
"potaywadjo streem lean-to",2,None,None
"tagg run shelter",305,None,None
"chance meetings",32,None,None
"apple valley inn, glenwood, nj",4,None,None
"andover,me (pine ellis b&b)",8,None,None
"ensign cowell shelter",141,None,None
"luray - hawkesbill b+b",10,None,None
"nirvana",20,None,None
"stealth site,rt7,mass.",56,None,None
"damascuss",8,None,None
"maintenance & logistics",1,None,None
"end of conn.",4,None,None
"a. morgan rufus shelter",2,None,None
"damasus, va",7,None,None
"mt greylock",230,None,None
"parkside inn, palmerton pa",18,None,None
"minerva hinchey shelter",0,43.48786,-72.92453
"n. o. c.",2,None,None
"big meadows, shenandoah nat'l. park",4,None,None
"introduction",8,None,None
"double spring gap",457,35.565075,-83.542729
"laurel creek shelter",785,37.35896,-80.42068
"virginia 603, fox creek",42,None,None
"webster road",32,None,None
"gatlingburg,",13,None,None
"gathland state park",62,None,None
"sam moore shelter",284,39.09067,-77.88627
"we're here in damascus",2,None,None
"warm house!",1,None,None
"abol bridge: moose day",1,None,None
"newfound gap shelter",3,None,None
"hostel, blackburn center",4,None,None
"benis mt.",6,None,None
"beech mountain",18,None,None
"east b hill road - andover me",3,None,None
"daleville,va",18,None,None
"jail, palmerton",18,None,None
"taking a break",32,None,None
"mountain harbour b&b",40,None,None
"carl newell lean-to",7,None,None
"little rock pond shelter",2,43.40408,-72.95315
"aqaba",2,None,None
"edward garvey shelter",18,None,None
"little bigelow mtn. lean-to",18,None,None
"n.h. 3",8,None,None
"river road / goshen, ct",16,None,None
"mass. 2 near north adams",4,None,None
"south hertiein campsite",1,None,None
"into the wilderness",1,None,None
"mount cube farm",25,None,None
"the longest day",2,None,None
"farmville, va",12,None,None
"old forge picnic area",8,None,None
"curley maple gap shelter",318,36.10433,-82.39684
"100-mile wilderness",10,None,None
"walace gap -rainbow springs campground",2,None,None
"nahtahala outdoor center",6,None,None
"wingdale, new york",38,None,None
"minerva hiachey",18,None,None
"campsite near south mtn",8,None,None
